,ID,applicability,sentiment,text
0,1923,,,"No additional ear gels provided, and no instructions whatsoever."
1,1924,,,"I could barely stomach the meal, but didn't complain because it was a business lunch."
10,1933,,,"Same evening, him and I are both drastically sick."
100,2023,,,The phone loads super!
1000,2923,,,Restaurant was exquisite  the atmosphere
1001,2924,,,Wild print  leopard is wonderfully
1002,2925,,, several servers being much so you forth even back are and the as went an not times helped
1003,2926,,,My of too ear falling is or this too  out keeps heavy on earpiece large the it
1004,2927,,,Lacked style this  place
1005,2928,,,To service non and luck focused rude  best of new the management customer
1006,2929,,, is not it good
1007,2930,,,It but was would still inexpensive expected piece an have  quality i better
1008,2931,,,That piece gristle a awkward lb huge was was ths it  fat cow of and
1009,2932,,,Plug right to volume up jiggle to i to it to get the get line have  decent
101,2024,,,Nine out of ten for a truly lovely film.  
1010,2933,,,It more everything  should does and
1011,2934,,,Adorable small got it i and because  it was so
1012,2935,,,Camera the phone quality well lit is the for is pad big a screen size and enough  key camera excellent
1013,2936,,,It stuff though giallo still recommended cinema to fans and s of highly  is wild
1014,2937,,,The have the  party for hear to you at clearly particular a phone to other you angle hold
1015,2938,,, roles book hilt tale a both tract of this has rickman subversive written in their stowe a to who the childrens play writer maybe and
1016,2939,,,Is movie to rpg its fan of too  a any big but im rpger games disgrace respecting this self there
1017,2940,,,Amazon  my experience with been to too has it service long would take how bad describe customer
1018,2941,,,Ready casted role i script the her would have in  after that
1019,2942,,,Than was all meredith right  better m
102,2025,,,The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.
1020,2943,,, it refund m i to trying for return a
1021,2944,,,Phone this this find perhaps  carriers i be so and returning inexcusable will changing probably and
1022,2945,,,How dialog about you up see some in will the kids your have if it far with race come amazing it open years chance have a relations  last
1023,2946,,,There a for treat the  like with service special warm feeling i and was guest a their felt
1024,2947,,,With sex riot see real to darren trysts hugo clients tom it obsessed his the uses a a was houses for  hollander who weaving flaming salesman gay estate his play
1025,2948,,,The were and best mediocre at rice  and beans
1026,2949,,,Made this  seems case well
1027,2950,,,Couple caused utterly at of which very lose was  to me first contacts confusing this important a very
1028,2951,,,No this  place stars deserves
1029,2952,,,Nasty was the and just texture not tasty 
103,2026,,,So I had to take the battery out of the phone put it all back together and then restart it.
1030,2953,,,Her minutes for realized about for salad t any wasn when we time it that we re soon waiting coming  we
1031,2954,,, script no than that happen for personalities occur other calls for it things reason characters change twists real plot
1032,2955,,,A the  out came food good at pace
1033,2956,,,One the worst series  of the
1034,2957,,,Worth  that s for checking it out
1035,2958,,,The the  problem was script
1036,2959,,,And the like of seafood not pasta strings  at bottom much
1037,2960,,,The best phoenix the area hands eat one down this is metro to places of  in place
1038,2961,,,I by was  product impressed this not
1039,2962,,,Lousy ve lane movie  but seen her this in a never i love i
104,2027,,,I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.
1040,2963,,,I pairing then it periodically somehow  kept continue had to dropping since it
1041,2964,,,Only for when used  think this sony ordered first it worked but i it i w thats i once ericsson i
1042,2965,,,This place i heart 
1043,2966,,,Sweet even its has moments  it
1044,2967,,,The well the of cast also play  rest
1045,2968,,,Over waaaaaayyyyyyyyyy  rated saying all i am is
1046,2969,,,Was and i  thing dessert section the did the like rib prime only
1047,2970,,, t your waste money don
1048,2971,,,Restaurant breakfast  fs wonderful anyway this has lunch a
1049,2972,,,Was phone was unusable new the and  not
105,2028,,,Pretty awesome place.
1050,2973,,,The basically which t uhura enterprise vulcan about humor and i at so just t to it guards stealing thinking the were to distract involves didn dosen pitiful of bear a belly find care a this not seriously awful oh story is to and god mention  film any does dance attempts about male
1051,2974,,,Extra but that my more discarded  later because or on case ear scratched put originally an was i less it
1052,2975,,,S intelligence all to huge its of  money in waste insult an one and a all
1053,2976,,,Are throughout granted while music crowd the something you and pleaser film mickey in yet t take don for sound huge but tons speak which hear of we  a now there was effects
1054,2977,,,Excellent  the price product for
1055,2978,,,Bad how trying m i it  still to get over was
1056,2979,,,Brain impulse shut your of attempt preservation as self down a of  will part to primal
1057,2980,,,Excellent the is  reception
1058,2981,,,He said with who s dialogue the had right plants has his guy potted  it better
1059,2982,,, s good not as definitely my was it as
106,2029,,,What a great double cheeseburger!
1060,2983,,, when it me not talk t people hear i work didn can
1061,2984,,,Our handling great large rowdy  server a table did job
1062,2985,,, just a movie great this is
