,text,applicity,sentiment
0,"No additional ear gels provided, and no instructions whatsoever.",0,1
1,"I could barely stomach the meal, but didn't complain because it was a business lunch.",0,0
2,"Same evening, him and I are both drastically sick.",1,1
3,The phone loads super!,0,0
4,Restaurant was exquisite  the atmosphere,1,1
5,Wild print  leopard is wonderfully,0,0
6, several servers being much so you forth even back are and the as went an not times helped,1,1
7,My of too ear falling is or this too  out keeps heavy on earpiece large the it,0,1
8,Lacked style this  place,0,0
9,To service non and luck focused rude  best of new the management customer,0,0
10, is not it good,0,0
11,It but was would still inexpensive expected piece an have  quality i better,1,1
12,That piece gristle a awkward lb huge was was ths it  fat cow of and,0,1
13,Plug right to volume up jiggle to i to it to get the get line have  decent,0,0
14,Nine out of ten for a truly lovely film.  ,1,1
15,It more everything  should does and,0,0
16,Adorable small got it i and because  it was so,0,0
17,Camera the phone quality well lit is the for is pad big a screen size and enough  key camera excellent,0,1
18,It stuff though giallo still recommended cinema to fans and s of highly  is wild,1,1
19,The have the  party for hear to you at clearly particular a phone to other you angle hold,0,1
20, roles book hilt tale a both tract of this has rickman subversive written in their stowe a to who the childrens play writer maybe and,0,1
21,Is movie to rpg its fan of too  a any big but im rpger games disgrace respecting this self there,0,1
22,Amazon  my experience with been to too has it service long would take how bad describe customer,1,1
23,Ready casted role i script the her would have in  after that,0,1
24,Than was all meredith right  better m,0,1
25,The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0,0
26, it refund m i to trying for return a,0,1
27,Phone this this find perhaps  carriers i be so and returning inexcusable will changing probably and,0,1
28,How dialog about you up see some in will the kids your have if it far with race come amazing it open years chance have a relations  last,0,1
29,There a for treat the  like with service special warm feeling i and was guest a their felt,0,1
30,With sex riot see real to darren trysts hugo clients tom it obsessed his the uses a a was houses for  hollander who weaving flaming salesman gay estate his play,0,1
31,The were and best mediocre at rice  and beans,0,0
32,Made this  seems case well,0,0
33,Couple caused utterly at of which very lose was  to me first contacts confusing this important a very,0,1
34,No this  place stars deserves,0,0
35,Nasty was the and just texture not tasty ,1,0
36,So I had to take the battery out of the phone put it all back together and then restart it.,0,1
