,word,PosScore,NegScore
0,able,0.125,0.0
1,unable,0.0,0.75
2,dorsal,0.0,0.0
3,ventral,0.0,0.0
4,acroscopic,0.0,0.0
5,basiscopic,0.0,0.0
6,abducting,0.0,0.0
7,adductive,0.0,0.0
8,nascent,0.0,0.0
9,emerging,0.0,0.0
10,dissilient,0.25,0.0
11,parturient,0.25,0.0
12,dying,0.0,0.0
13,moribund,0.0,0.0
14,last,0.0,0.0
15,abridged,0.0,0.0
16,shortened,0.0,0.0
17,half-length,0.0,0.0
18,potted,0.0,0.0
19,unabridged,0.0,0.0
20,uncut,0.5,0.0
21,absolute,0.5,0.0
22,direct,0.75,0.0
23,unquestioning,0.5,0.5
24,infinite,0.125,0.0
25,living,0.5,0.125
26,relative,0.25,0.5
27,relational,0.0,0.0
28,absorptive,0.0,0.0
29,sorbefacient,0.375,0.0
30,assimilatory,0.0,0.75
31,hygroscopic,0.0,0.0
32,receptive,0.0,0.125
33,shock-absorbent,0.0,0.0
34,spongy,0.0,0.0
35,thirsty,0.0,0.0
36,nonabsorptive,0.0,0.5
37,resistant,0.0,0.5
38,surface-assimilative,0.0,0.0
39,chemosorptive,0.0,0.25
40,nonadsorptive,0.0,0.25
41,absorbable,0.5,0.0
42,adsorbate,0.25,0.0
43,abstemious,0.0,0.0
44,abstinent,0.0,0.625
45,spartan,0.5,0.25
46,gluttonous,0.0,0.0
47,crapulous,0.0,0.0
48,crapulous,0.0,0.5
49,wolfish,0.0,0.0
50,greedy,0.0,0.0
51,swinish,0.0,0.125
52,too-greedy,0.125,0.375
53,abstract,0.0,0.0
54,notional,0.375,0.0
55,conceptual,0.375,0.25
56,ideal,0.0,0.0
57,ideological,0.125,0.125
58,concrete,0.625,0.25
59,objective,0.0,0.0
60,tangible,0.0,0.0
61,abundant,0.0,0.25
62,galore,0.0,0.25
63,rich,0.125,0.0
64,voluminous,0.0,0.0
65,easy,0.25,0.625
66,riotous,0.0,0.25
67,thick,0.0,0.5
68,long,0.125,0.375
69,rife,0.125,0.5
70,plentiful,0.0,0.25
71,rampant,0.0,0.0
72,rank,0.0,0.25
73,superabundant,0.125,0.5
74,teeming,0.0,0.0
75,torrential,0.0,0.375
76,verdant,0.125,0.5
77,scarce,0.0,0.25
78,rare,0.0,0.875
79,tight,0.0,0.625
80,mistreated,0.0,0.625
81,battered,0.0,0.75
82,unabused,0.375,0.25
83,acceptable,0.625,0.0
84,bankable,0.25,0.0
85,unimpeachable,0.25,0.625
86,unobjectionable,0.0,0.5
87,unacceptable,0.125,0.375
88,objectionable,0.0,0.375
89,accessible,0.625,0.0
90,reachable,0.375,0.0
91,getatable,0.625,0.0
92,ready_to_hand,0.125,0.125
93,unaccessible,0.5,0.125
94,remote,0.125,0.0
95,untrodden,0.125,0.25
96,unreached,0.0,0.0
97,ungetatable,0.0,0.625
98,accommodative,0.5,0.0
99,obliging,0.75,0.0
100,unobliging,0.25,0.25
101,uncooperative,0.125,0.25
102,accurate,0.5,0.0
103,faithful,0.625,0.0
104,dead-on,0.625,0.25
105,high-fidelity,0.5,0.125
106,surgical,0.5,0.0
107,straight,0.0,0.0
108,true,0.125,0.0
109,veracious,0.875,0.0
110,inaccurate,0.125,0.625
111,outside,0.0,0.0
112,wrong,0.125,0.75
113,unfaithful,0.0,0.5
114,wide_of_the_mark,0.0,0.625
115,accustomed,0.125,0.0
116,wont_to,0.0,0.375
117,unaccustomed,0.0,0.75
118,new,0.0,0.125
119,unused,0.0,0.125
120,acidic,0.0,0.125
121,acid,0.0,0.375
122,acid-forming,0.0,0.5
123,alkaline,0.0,0.0
124,alkalescent,0.125,0.375
125,basic,0.25,0.0
126,base-forming,0.125,0.125
127,saltlike,0.25,0.125
128,amphoteric,0.5,0.0
129,acid-loving,0.0,0.25
130,aciduric,0.0,0.0
131,alkaline-loving,0.0,0.25
132,acknowledged,0.125,0.0
133,recognized,0.5,0.0
134,self-confessed,0.0,0.125
135,assumptive,0.25,0.0
136,declarable,0.375,0.0
137,granted,0.0,0.0
138,putative,0.125,0.0
139,unacknowledged,0.0,0.625
140,unvalued,0.0,0.375
141,unavowed,0.25,0.0
142,unconfessed,0.0,0.375
143,unrecognized,0.0,0.5
144,acquisitive,0.0,0.0
145,accumulative,0.375,0.0
146,prehensile,0.0,0.0
147,possessive,0.0,0.0
148,plundering,0.0,0.0
149,predatory,0.0,0.0
150,voracious,0.25,0.5
151,sordid,0.0,0.5
152,unacquisitive,0.0,0.5
153,acropetal,0.0,0.0
154,basipetal,0.0,0.0
155,active,0.5,0.125
156,astir,0.0,0.0
157,gymnastic,0.375,0.0
158,spry,0.0,0.0
159,hot,0.5,0.0
160,overactive,0.25,0.0
161,on_the_go,0.125,0.0
162,sporty,0.25,0.0
163,inactive,0.375,0.5
164,deskbound,0.125,0.0
165,dormant,0.25,0.375
166,underactive,0.0,0.625
167,torpid,0.25,0.125
168,sedentary,0.125,0.0
169,active,0.0,0.0
170,activated,0.0,0.125
171,inactive,0.0,0.375
172,off,0.0,0.625
173,retired,0.0,0.625
174,active,0.0,0.0
175,brisk,0.25,0.125
176,bustling,0.5,0.0
177,busy,0.375,0.25
178,going,0.0,0.5
179,open,0.0,0.0
180,springy,0.125,0.375
181,inactive,0.25,0.0
182,dark,0.0,0.0
183,dead,0.25,0.0
184,sluggish,0.0,0.5
185,unused,0.125,0.625
186,strikebound,0.0,0.0
187,active,0.375,0.5
188,progressive,0.0,0.25
189,inactive,0.0,0.375
