	ID	text	sentiment	applicability
0	0	I had the opportunity today to sample your amazing pizzas!	1	1
1	1	If you are Razr owner...you must have this!	1	1
10	10	I was not happy with this item.	0	1
100	100	This is a great deal.	1	1
1000	1000	Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.	1	1
1001	1001	!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!	0	1
1002	1002	My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.	1	1
1003	1003	Predictable, but not a bad watch.  	1	1
1004	1004	Don't waste your time here.	0	1
1005	1005	The acting was bad, the dialogs were extremely shallow and insincere.  	0	1
1006	1006	The sound is clear and the people I talk to on it are amazed at the quality too.	1	1
1007	1007	If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?	0	1
1008	1008	I wasn't really impressed with Strip Steak.	0	1
1009	1009	The kids are annoying.  	0	1
101	101	Good transmit audio.	1	1
1010	1010	An hour and a half I wish I could bring back.  	0	1
1011	1011	The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!	1	1
1012	1012	Kris Kristoffersen is good in this movie and really makes a difference.  	1	1
1013	1013	I would not recommend this place.	0	1
1014	1014	It does everything the description said it would.	1	1
1015	1015	So flavorful and has just the perfect amount of heat.	1	1
1016	1016	I liked this movie way too much.  	1	1
1017	1017	It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  	1	1
1018	1018	This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  	0	1
1019	1019	Good service, very clean, and inexpensive, to boot!	1	1
102	102	I love the owner/chef, his one authentic Japanese cool dude!	1	1
1020	1020	After I pulled up my car I waited for another 15 minutes before being acknowledged.	0	1
1021	1021	It's a campy sort of film that's a joy to watch.  	1	1
1022	1022	I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.	0	1
1023	1023	Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  	1	1
1024	1024	" With great sound effects, and impressive special effects, I can't recommend this movie enough.  	1
Call me a nut, but I think this is one of the best movies ever.  	1
Great character actors Telly Savalas and Peter Boyle.  	1
1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  	0
Lots of holes in the script.  	0
It's like a bad two hour TV movie.  	0
Now imagine that every single one of those decisions was made wrong.  	0
The dialogue is atrocious.  	0
The acting is beyond abysmal.  	0
Everything stinks.  	0
Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  	0
Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  	0
It's dumb and pointless, and a complete waste of time.  	0
In short, don't bother with this movie.  	0
I won't spoil it, but the ending in pretty amazing.  	1
The best scene in the movie is at the end, but I won't spoil it.  	1
If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  	1
The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  	1
A film not easily forgotten.  	1
But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  	1
The scripting of the subtle comedy is unmatched by any movie in recent years.  	1
The characters are interesting, even if a bit predictable.  	1
Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  	1
Great movie!  	1
Also the story and acting were weak.  	0
At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  	0
Either way, it sucks.  	0
The script is horrendously stupid.  	0
The story starts too fast with absolutely no suspense or build-up in the slightest.  	0
Everything Captain Howdy says is either laughable or just plain stupid.  	0
What the hell kind of crap is that?!  	0
Then, there's the plot holes.  	0
You could drive a semi truck into these holes!  	0
Linda Cardellini is the only thing good in this film.  	1
She's poised and amazing.  	1
Dee Snider just plain sucks.  	0
He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  	0
I was bored throughout the whole damn thing.  	0
The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  	0
This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  	0
This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  	0
A piece of cinematic garbage captured on celluloid.  	0
Avoid at any and all costs.  	0
At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  	0
Avoid this film at all costs.  	0
I don't know what happened in Season Five, what a mess.  	0
The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  	0
Now this is a movie I really dislike.  	0
It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  	0
The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  	0
The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  	0
There aren't death scenes like in previous movies and the f/x are terrible.  	0
I felt asleep the first time I watched it, so I can recommend it for insomniacs.  	0
The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  	1
The best part about Nurse Betty"" is it's unpredictability.  "	1	1
1025	1025	Food quality has been horrible.	0	1
1026	1026	One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.	1	1
1027	1027	A standout scene.  	1	1
1028	1028	I enjoyed it.  	1	1
1029	1029	A great touch.	1	1
103	103	If you have not seen this movie, I definitely recommend it!  	1	1
1030	1030	Went for lunch - service was slow.	0	1
1031	1031	This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it	0	1
1032	1032	Great Earpiece.	1	1
1033	1033	Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.	0	1
1034	1034	At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.	0	1
1035	1035	Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.	1	1
1036	1036	You also cannot take pictures with it in the case because the lense is covered.	0	1
1037	1037	Excellent bluetooth headset.	1	1
1038	1038	I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  	0	1
1039	1039	It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  	1	1
104	104	The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  	1	1
1040	1040	This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  	1	1
1041	1041	A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.  	0	1
1042	1042	"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them."	0	1
1043	1043	Disappointing experience.	0	1
1044	1044	Stay Away From the Q!.	0	1
1045	1045	Buy a different phone - but not this.	0	1
1046	1046	I love the Pho and the spring rolls oh so yummy you have to try.	1	1
1047	1047	T-Mobile has the best customer service anywhere.	1	1
1048	1048	It clicks into place in a way that makes you wonder how long that mechanism would last.	0	1
1049	1049	Horrible phone.	0	1
105	105	The service was meh.	0	1
1050	1050	The movie seemed a little slow at first.  	0	1
1051	1051	I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  	1	1
1052	1052	Gotta love those close-ups of slimy, drooling teeth!  	1	1
1053	1053	This is one of the best movies out there that shows such strong sibling bond for each other.  	1	1
1054	1054	There is a brilliant twist ending.  	1	1
1055	1055	Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.  	1	1
1056	1056	This is a great phone!.	1	1
1057	1057	Don't do it!!!!	0	1
1058	1058	However I needed some better instructions.	0	1
1059	1059	Kind of hard to mess up a steak but they did.	0	1
106	106	I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.	1	1
1060	1060	The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	0	1
1061	1061	its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.	1	1
1062	1062	I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.	0	1
1063	1063	Its well-designed and very sharp -- the blue is a very nice color.	1	1
1064	1064	Who in their right mind is gonna buy this battery?.	0	1
1065	1065	I didn't want the clip going over the top of my ear, causing discomfort.	0	1
1066	1066	Terrible management.	0	1
1067	1067	I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.	1	1
1068	1068	Now this dish was quite flavourful.	1	1
1069	1069	the spaghetti is nothing special whatsoever.	0	1
107	107	As for the service: I'm a fan, because it's quick and you're being served by some nice folks.	1	1
1070	1070	We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement	0	1
1071	1071	You never know if you pushed it hard enough or the right number of times for the function you want or not.	0	1
1072	1072	I had to go to a store and bought a new NOKIA phone which is working great.	1	1
1073	1073	Hopefully this bodes for them going out of business and someone who can cook can come in.	0	1
1074	1074	Provides good protection and looks classy, too.	1	1
1075	1075	its extremely slow and takes forever to do anything with it.	0	1
1076	1076	It's a gloriously fun, fast paced and fairly accurate portrayal of the night of a raver.  	1	1
1077	1077	The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  	0	1
